adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
11.7788,11.7788,2019-05-28,0.0000,11.7788,11.7788,11.7788,1.0000,1
11.7788,11.7788,2019-05-03,0.0000,11.7788,11.7788,11.7788,1.0000,1
12.0407,12.0407,2019-04-18,0.0000,12.0407,12.0407,12.0407,1.0000,1
12.2131,12.2131,2018-01-29,0.0000,12.2131,12.2131,12.2131,1.0000,700
12.3000,12.3000,2017-10-18,0.0000,12.3000,12.3000,12.3000,1.0000,700
